Region,BEIS School ID,School.Name,Division,Legislative.District,Province,City or Municipality,Barangay,Latitude,Longitude, Kinder , Grade 1 , Grade 2 , Grade 3 , Grade 4 , Grade 5 , Grade 6 , Grade 7 , Grade 8 , Grade 9 , Grade 10 , Grade 11 , Grade 12 , Total Seats 
Region VI,440102,En Hakorre Learning Center Inc.,Iloilo,Second District,Province of Iloilo,Municipality of Leon,Barangay Poblacion,14.57929,121.06494,53,28,20,27,16,20,20, -   , -   , -   , -   , -   , -   ,184
BARMM,475501,Wonderland Adventist Elem School,#N/A,Wao-1 District,Lanao del Sur,Municipality of Wao,Barangay Western,14.57929,121.06494,90,55,55,55,110,110,55, -   , -   , -   , -   , -   , -   ,530
Region IX,404941,Islamic Institute of the Philippines,Zamboanga City,Lone District,Province of Zamboanga Del Sur ,City of Zamboanga City ,Barangay Rio Hondo,6.9004039,122.0849755,25,35,35,35,35,35,35,45,45,45,45,35,70,520
Region VI,404012,"Estancia Seventh-Day Adventist Elementary School, Inc",Iloilo,Estancia District,Province of Iloilo,Municipality of Estancia,"Barangay Poblacion, Zone 2",123.152381,123.152381,42,35,32,26,30,45,30, -   , -   , -   , -   , -   , -   ,240
Region VI,440104,Guimbal Child Development Center Inc.,#N/A,First District of Iloilo,Province of Iloilo,Guimbal ,Liboon Gonzales Gargaritano ,122.32249,10.66337,45,16,10,20,20,20,18, -   , -   , -   , -   , -   , -   ,149
BARMM,478018,Jamiatu Marawi AL-Islamia Foundation,#N/A,District 1 Lanao Sur,Lanao Sur,Marawi City,Moncado Kadingilan,7.997024,124.2973,40,40,40,40,40,40,40,50,50,50,50,50,50,580
BARMM,406091,"Ibn Siena Integrated School Foundation, INC.",#N/A,n/a,Lanao del Sur,City of Marawi,Brgy. Biaba-Damag,7.99819,124.26832,428,415,494,392,237,355,356,286,263,284,249,291,253,4303
Region IX,402392,"Juan S. Alano Memorial School, Inc.",Isabela City,Lone District,Province of Basilan,City of Isabela,Barangay Doña Ramona,6.6998391,121.9700509, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,100,100,200
BARMM,478018,Jamiatu Marawi AL-Islamia Foundation,#N/A,Lanao Sur,Lanao Sur,Marawi City,Moncado Kadingilan,7.9970724,124,40,40,40,40,40,40,40,50,50,60,60,60,60,620
Region IX,458001,Grace Learning Center of the CAMACOP,Isabela City,WEST 2 DISTRICT,PROVINCE OF BASILAN,CITY OF ISABELA,BARANGAY LA PIEDAD,6.70198,121.97423,40,27,25,20,15,15,15, -   , -   , -   , -   , -   , -   ,157
Region IX,404928,Creche Integrated Studies Centre,#N/A,District 2,Province of Zamboanga del Sur,Zamboanga City,Barangay Tetuan,6.913865,122.092552,2,2,1,1,1,1,1,1,1,1,2,1,1,16
BARMM,475506,CFC-School of the Morning Star Elem. School,#N/A,Lanao del Sur 1,BARMM,"Wao,Lanao del Sur",Eastern ,7.637792,124.726299,30,20,25,16,25,16,20, -   , -   , -   , -   , -   , -   ,152
BARMM,475510,"Philippine Integrated School Foundation Inc, TUGAYA",#N/A,2nd District,PROVINCE OF LANAO DEL SUR,MUNICIPALITY OF TUGAYA,BARANGAY 19,7.882271,124.177811,35,40,40,40,30,30,30, -   , -   , -   , -   , -   , -   ,245
Region VI,440068,Guimbal Amazing Grace Baptist Academy Inc,#N/A,1st,Iloilo,Guimbal,Bgry. Torreblanca-Blumentritt ,10.66,122.32,40,21,19,19,17,13,8, -   , -   , -   , -   , -   , -   ,137
