SchoolID,School.Name,Region,Division,Modified.COC,TrackOffering,TrackOffering.Intended,Typology,SHS.Enrolment,ClassesOrganized,TeacherRequirement,JHSTeachers,SHSTeachers,English,Filipino,Science,Mathematics,Araling.Panlipunan,Agriculture,Biological.Sciences,NA,ECE,ESP,General.Ed,MAPEH,Physical.Sciences,SPED,TLE,SHS.Packages
302001,NABUA NATIONAL HIGH SCHOOL,REGION V,CAMARINES SUR,JHS with SHS,"Acad, TechVoc and Arts",Acad and TechPro,Very Large,3257,85,128,175,105,23,12,0,12,30,0,7,0,0,2,0,3,5,1,15,"Automotive Servicing (NC II), Beauty/ Nail Care (NC II), Bread and Pastry Production (NC II), Computer Systems Servicing (NC II), Electronic Products Assembly and Servicing (NC II), Food and Beverage Services (NC II), Housekeeping (NC II)"
302012,PAMPLONA NATIONAL HIGH SCHOOL,REGION V,CAMARINES SUR,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,737,20,30,52,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bread and Pastry Production (NC II), Cookery (NC II), Food and Beverage Services (NC II)"
302016,PILI NATIONAL HIGH SCHOOL - PILI,REGION V,CAMARINES SUR,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,918,26,39,77,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bread and Pastry Production (NC II), Caregiving (NC II), Cookery (NC II), Food and Beverage Services (NC II)"
302020,RAGAY NATIONAL AGRICULTURAL AND FISHERIES SCHOOL (RNAFS),REGION V,CAMARINES SUR,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,538,15,23,42,17,3,1,1,2,4,0,1,0,0,0,0,0,0,0,4,"Agricultural Crops Production (NC II), Artificial Insemination- Ruminants (NC II)"
302083,CATANDUANES NHS,REGION V,CATANDUANES,JHS with SHS,All Tracks,Acad and TechPro,Very Large,1831,48,72,140,68,12,4,10,5,10,1,1,0,0,1,0,3,0,0,21,Shielded Metal Arc Welding (NC I and NC II)
302145,FEDERICO A. ESTIPONA MEMORIAL HIGH SCHOOL,REGION V,MASBATE,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,639,18,27,48,31,4,1,1,3,1,1,10,0,0,0,1,0,1,0,4,Food (Fish) Processing (NC II)
302264,CAMARINES SUR NATIONAL HIGH SCHOOL,REGION V,NAGA CITY,JHS with SHS,All Tracks,Acad and TechPro,Extremely Large,3320,87,131,290,108,21,7,11,19,16,2,6,2,0,4,1,2,0,0,16,"Bartending (NC II), Beauty/ Nail Care (NC II), Bread and Pastry Production (NC II), Computer Systems Servicing (NC II), Cookery (NC II), Dressmaking (NC II), Electrical Installation and Maintenance (NC II), Electronic Products Assembly and Servicing (NC II), Food and Beverage Services (NC II), Front Office Services (NC II), Hairdressing (NC II), Illustration (NC II), Local Guiding Services (NC II), Wellness Massage (NC II)"
302286,ALTAVAS NATIONAL SCHOOL,REGION VI,AKLAN,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,746,21,32,52,28,8,4,0,4,1,0,2,0,0,0,0,1,2,0,5,"Animation (NC II), Attractions and Theme Parks (NC II), Cookery (NC II), Electrical Installation and Maintenance (NC II), Electronic Products Assembly and Servicing (NC II), Food and Beverage Services (NC II), Housekeeping (NC II), Plumbing (NC I), Tailoring (NC II), Tile Setting (NC II), Tourism Promotion Services (NC II)"
302294,BAY-ANG-MAGPAG-ONG NHS,REGION VI,AKLAN,JHS with SHS,Acad and TechVoc,Acad and TechPro,Small,121,4,6,13,7,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2,"Bread and Pastry Production (NC II), Food and Beverage Services (NC II), Technical Drafting (NC II)"
302297,BURUANGA VOCATIONAL SCHOOL,REGION VI,AKLAN,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,504,14,21,42,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Automotive Servicing (NC I), Beauty/ Nail Care (NC II), Bread and Pastry Production (NC II), Cookery (NC II), Electrical Installation and Maintenance (NC II), Food and Beverage Services (NC II), Hairdressing (NC II), Wellness Massage (NC II)"
302319,MALINAO SCH. FOR PHIL. CRAFTSMEN,REGION VI,AKLAN,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,356,11,17,28,17,3,1,0,4,2,0,0,0,0,0,0,1,3,0,4,"Bread and Pastry Production (NC II), Computer Systems Servicing (NC II), Electrical Installation and Maintenance (NC II), Food and Beverage Services (NC II), Hairdressing (NC II)"
302333,RIZAL J. RODRIGUEZ SR. NHS,REGION VI,AKLAN,JHS with SHS,Acad and TechVoc,Acad and TechPro,Small,107,4,6,13,7,1,1,0,1,0,0,1,0,0,0,0,0,0,0,3,Technical Drafting (NC II)
302341,ANTIQUE NS,REGION VI,ANTIQUE,JHS with SHS,All Tracks,Acad and TechPro,Small,2271,61,92,202,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agricultural Crops Production (NC II), Animation (NC II), Bread and Pastry Production (NC II), Carpentry (NC II), Cookery (NC II), Electrical Installation and Maintenance (NC II), Electronic Products Assembly and Servicing (NC II), Food and Beverage Services (NC II), Illustration (NC II), Medical Transcription (NC II), Tailoring (NC II)"
302346,BARBAZA NHS,REGION VI,ANTIQUE,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,582,17,26,47,23,3,2,1,4,5,0,4,0,0,0,0,0,0,0,4,"Caregiving (NC II), Computer Systems Servicing (NC II), Electrical Installation and Maintenance (NC II), Technical Drafting (NC II)"
302353,DICLUM NATIONAL HIGH SCHOOL,REGION VI,ANTIQUE,JHS with SHS,Acad and TechVoc,Acad and TechPro,Small,124,4,6,15,8,2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,Contact Center Services (NC II)
302355,GAMAD-STO. TOMAS NHS,REGION VI,ANTIQUE,JHS with SHS,Acad and TechVoc,Acad and TechPro,Very Small,58,3,5,8,6,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,"Computer Systems Servicing (NC II), Medical Transcription (NC II)"
302365,MAG-ABA NATIONAL HIGH SCHOOL,REGION VI,ANTIQUE,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,294,9,14,28,14,1,2,3,1,2,0,0,0,0,0,0,2,1,0,2,"Bread and Pastry Production (NC II), Computer Systems Servicing (NC II), Cookery (NC II), Food and Beverage Services (NC II)"
302367,NORTHERN ANTIQUE VOCATIONAL SCHOOL,REGION VI,ANTIQUE,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,1232,33,50,78,47,10,5,5,7,7,0,0,0,0,1,0,1,0,0,8,"Bartending (NC II), Cookery (NC II), Electrical Installation and Maintenance (NC II), Gas Metal Arc Welding- GMAW (NC II), Gas Tungsten Arc Welding- GTAW (NC II)"
302370,PANGPANG NHS,REGION VI,ANTIQUE,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,165,6,9,20,14,4,2,2,1,2,0,0,0,0,0,0,0,0,0,0,"Bread and Pastry Production (NC II), Cookery (NC II), Food and Beverage Services (NC II), Shielded Metal Arc Welding (NC I and NC II)"
302377,SEBASTE HS,REGION VI,ANTIQUE,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,229,8,12,20,12,3,1,0,1,0,0,2,1,0,0,0,1,1,0,0,"Bread and Pastry Production (NC II), Carpentry (NC II), Cookery (NC II), Food and Beverage Services (NC II), Front Office Services (NC II)"
302387,MALABON CITY TECHVOC AND ENTREPRENEURSHIP SENIOR HIGH SCHOOL,NCR,MALABON CITY,Purely SHS,TechVoc,Acad and TechPro,Very Small,69,3,5,#N/A,10,3,0,0,1,0,0,1,0,0,0,0,0,0,0,5,"Bread and Pastry Production (NC II), Food and Beverage Services (NC II), Local Guiding Services (NC II)"
302404,FLORENTINA B. DEGALA NHS,REGION VI,CAPIZ,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,195,7,11,23,9,1,1,2,3,1,0,0,0,0,3,0,0,0,0,1,Cookery (NC II)
302406,IVISAN NHS,REGION VI,CAPIZ,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,878,24,36,75,30,16,8,2,6,6,0,4,6,0,0,0,2,2,0,10,"Beauty/ Nail Care (NC II), Computer Systems Servicing (NC II), Cookery (NC II), Electronic Products Assembly and Servicing (NC II), Hairdressing (NC II), Shielded Metal Arc Welding (NC I and NC II), Wellness Massage (NC II)"
302426,BUENAVISTA NATIONAL HIGH SCHOOL,REGION VI,GUIMARAS,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,1018,27,41,77,29,13,5,5,5,7,0,0,0,0,0,0,5,0,0,4,"Bread and Pastry Production (NC II), Food and Beverage Services (NC II)"
302429,DESIDERIO C. GANGE NATIONAL HIGH SCHOOL,REGION VI,GUIMARAS,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,472,14,21,43,16,5,1,2,3,0,0,0,0,0,0,0,2,0,0,4,"Bread and Pastry Production (NC II), Computer Systems Servicing (NC II), Food and Beverage Services (NC II), Housekeeping (NC II), Wellness Massage (NC II)"
302434,NUEVA VALENCIA NATIONAL HIGH SCHOOL,REGION VI,GUIMARAS,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,591,17,26,52,22,5,2,3,3,6,0,0,0,0,0,0,0,0,0,6,"Beauty/ Nail Care (NC II), Bread and Pastry Production (NC II), Carpentry (NC II), Food and Beverage Services (NC II), Wellness Massage (NC II)"
302436,SALVACION NATIONAL HIGH SCHOOL,REGION VI,GUIMARAS,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,306,10,15,28,11,3,1,1,2,3,0,1,0,0,0,0,1,0,0,3,"Bread and Pastry Production (NC II), Food and Beverage Services (NC II)"
302438,TRINIDAD V. CANJA-STA. TERESA NATIONAL HIGH SCHOOL,REGION VI,GUIMARAS,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,711,20,30,58,23,4,3,2,5,6,0,2,0,0,0,0,1,0,0,6,"Agricultural Crops Production (NC I), Animation (NC II), Automotive Servicing (NC I), Bread and Pastry Production (NC II), Food and Beverage Services (NC II), Housekeeping (NC II), Wellness Massage (NC II)"
302439,REMEDIOS E. VILCHES-SAN LORENZO NATIONAL HIGH SCHOOL,REGION VI,GUIMARAS,JHS with SHS,Academic,Acad and TechPro,Large,436,12,18,37,15,4,1,4,3,2,0,0,0,0,1,0,0,0,0,2,NA
302449,ANILAO NHS,REGION VI,ILOILO,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,861,23,35,60,31,9,7,1,12,0,0,2,0,0,0,0,0,4,0,1,"Automotive Servicing (NC I), Automotive Servicing (NC II), Bread and Pastry Production (NC II), Cookery (NC II), Electronic Products Assembly and Servicing (NC II), Food and Beverage Services (NC II)"
302466,BOLOLACAO NHS,REGION VI,ILOILO,JHS with SHS,Acad and TechVoc,Acad and TechPro,Small,134,5,8,13,6,2,0,1,1,2,0,1,0,0,0,0,2,0,0,1,"Bread and Pastry Production (NC II), Cookery (NC II), Food and Beverage Services (NC II), Shielded Metal Arc Welding (NC I and NC II)"
302467,BOTONG-CABANBANAN NHS,REGION VI,ILOILO,JHS with SHS,Academic,Acad and TechPro,Medium,336,9,14,27,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302489,DE LA PAZ NATIONAL HIGH SCHOOL,REGION VI,ILOILO,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,245,9,14,23,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agricultural Crops Production (NC II), Beauty/ Nail Care (NC II), Hairdressing (NC II), Wellness Massage (NC II)"
302506,GUIMBAL NHS,REGION VI,ILOILO,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,1205,32,48,75,43,7,4,0,8,8,0,7,0,0,1,0,5,2,0,1,"Caregiving (NC II), Hairdressing (NC II)"
302509,ILOILO NHS,REGION VI,ILOILO,JHS with SHS,All Tracks,Acad and TechPro,Very Large,2132,58,87,180,92,14,8,7,13,14,0,4,1,0,2,0,7,1,0,7,"Bread and Pastry Production (NC II), Cookery (NC II), Food and Beverage Services (NC II), Tailoring (NC II)"
302520,LEGANES NATIONAL HIGH SCHOOL,REGION VI,ILOILO,JHS with SHS,Acad and TechVoc,Acad and TechPro,Very Large,1153,30,45,92,41,8,2,2,4,1,0,1,0,0,1,0,2,1,0,5,"Bread and Pastry Production (NC II), Cookery (NC II), Electrical Installation and Maintenance (NC II), Food and Beverage Services (NC II), Shielded Metal Arc Welding (NC I and NC II)"
